Name,Date of Birth,Place of Birth,Date of Death,Place of Death,Educational Instution Attended,Employer,Advisers/Mentors,Society/Trade Membership,Publications,Awards and Honorifics Received,Keywords:,Correspondents of Note: ,Writes a letter of recommendation for: ,Women who appear in the letters: ,Interesting finds,,,Confusions? 
Florence Rena Sabin,,,,,,,,,,Sabin gave the Mellon Lecture in 1931 in Pittsburgh,,"Dr. Robert S. Cunningham, department of anatomy, Vanderbilt University, correspondence from 1925-1943",,"Helen Dean King - see digitized material in Anna E. Homan folder, Series I, Box 11",,,,
Florence Rena Sabin,,,,,,,,,,Received a medal for the National Achievement Award in 1932 sponsered by Chi Omega Sorority,,"Dr. Charles Doan, correspondence spans 1920-1946. at Boston Hospital, later of Ohio State University ",,"Dr. Florence Seibert, University of Chicago, works on tb, 1932;  and at Phipps Institute in Philadelphia (1940). Siebert and Sabin send back and forth PPD solutions and tests related to TB. Sabin helps Siebert win the Guggenheim Foundation Award. When Seibert wins the Trudeau medal, Sabin writes ""you were my first choice every year that I was on the committee."" Series I, Box 20",,,,
Florence Rena Sabin,,,,,,,,,,NYU gave her an honorary degree ,,"Dr. Hal Downey, of University of Minnesota Medical School, correspondence from 1917-1939",,"Frieda Baumann, MD, President Alumane Association of the Woman's Medical College of Pennsylvania, Series I, Box 2",,,,
Florence Rena Sabin,,,,,,,,,,Oberlin gave her an honorary degree ,,"Dr. Cecil K Drinker, Harvard University School fo Public Health",,"Dr. Rose F. Beals, American Marathi Mission Hospital, Wai via Poona, India. Series I, Box 2",,,,
Florence Rena Sabin,,,,,,,,,,,,Abraham Flexner,,"Dr. Regina C. Beck, M.D., Pathologist, Stuart Circle Hospital, Richmond, VA, Series I, Box 2",,,,
Florence Rena Sabin,,,,,,,,,,,,Simon Flexner,,"Consuelo Vadillo, from Marida, Yucatan, Mexico, a gynecologist, who goes on to Women's Medical College at Philadelphia based on Sabin's recommendation. See the letter from her in the Heloise Brainerd, 1934 file Also interesting is that Vadillo is able to do this post graduate study because she received a $1500 scholarship from the AAUW, who for this year awards five to US women, one to Europe and one to South America. Dr. Vadillo is the only woman physician in the Yucaton, daughter of a physician there. See also the article by Lillian Estelle Fisher, ""The Influence of the Present Mexican Revolution upon the Status of Mexican Women"" The Hispanic American Historical Review (1942), page 225. Ironically, it seems Sabin first doubt Vadillo's trianing in 2/1/34 letter to Kathryn McHale, Series I, Box 14",,,,
Florence Rena Sabin,,,,,,,,,,,,"Dr. Alice Hamilton, writing from Harvard, asks for suggestions of women to fill the post of director of occupational disease clinic at Mass General Hosptial. Sabin recommends Dr. Doris A. Murray, school of hygeine, Johns Hopkins University, Dr. Cathryn Riley, JHU, and Miss Helen Louise Hopkins also JHU",,"Dr. Gladys Dick, Cancer and Scarlet Fever Specialist, Chicago Univeristy. Series I, Box 11, ""Anna E. Holman, -1936"" mentioned in letter dated May 20, 1936",,,,
Florence Rena Sabin,,,,,,,,,,,,"Donald R. Hooker, 1926-1943, writing about articles to publish/write",,"Dr. Rebecca Lansefield (or Lancefield), Rockefeller Institute, bacteriologist working on streptcocci important for puerperal fever - studied in the department of Homer Swift at Rockefeller.  Found in Anna E. Holman folder, Series 1, Box 11",,,,
Florence Rena Sabin,,,,,,,,,,,,"Dr. Franklin R. Miller, The Lakeside Hospital, Cleveland, OH. She writes to him a great deal about her blood research. Later in life he moves on to Jefferson Medical College in Philadelphia.",,"Dr. Clara Lynch, geneticist at Rockefeller Institute, found in Anna E. Holman folder, Series 1, Box 11",,,,
Florence Rena Sabin,,,,,,,,,,,,Dr. Florence Siebert. Correspond from 1928-36,,Dr. Louise Pierce,,,,
Florence Rena Sabin,,,,,,,,,,,,"Virginia C. Gildersleeve, Dean of Barnard College, Columbia University. Corresponds a lot about women's clubs such as ACA and International Federation fo University Women",,"Dr. Josephine Bicknell Neal, Neurological specialist, New York City",,,,
Florence Rena Sabin,,,,,,,,,,,,,,Dr. Foa recommended for Ellen Swallow Richards Prize ,,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Dr. Bertha Van Hoosen, Surgeon, Loyola University, Chicago, series 1, box 23",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Dr. Kate Campbell Mead, Haddam, Connecticut. Series I, Box 14",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Dr. Catherine Macfarlane, Surgeon, Women's Medical College, Pennsylvania. Series I, Box 14",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Dr. Martha Tracy, Professor of Preventative Medicine, Women's Medical College, Pennsylvania. Series 1, Box 22",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Dr. Esther Richards, Psychiatrist, Johns Hopkins University",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Dr. Jessie King, mentioned in letters to Gerge Corner at UR, encourages King to apply for the ACA scholarship through the AAUW. Series I, Box 4 ""Corner, George Washington 1925-1938""",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Miss Mary Denton, Doshisha University, Kyoto, Japan (1931) Sabin writes to introduce her to Dr. Louise Pearce, who will be working as Professor at Peiping Union Medical College in China",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Vera Danchakoff - fled Russia, working at Columbia Medical (I think…)",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Miss M.A. Nutting, Butler Hall, Teacher's College, wrote a history of nursing, also corresponded with ESR. The history of nursing was written with Lavinia Dock",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Dr. Marion Hines, anatomist, is offered a position in China in 1919. Writes to Sabin asking if she should go. Sabin advises her to stay in Chicago. In 1939 Sabin writes to Dr. Noble and recommends Marion Hines - in the Anatomical Department at Johns Hopkins Medical School. Hines works with Sarah Tower on a survey of the cerebral cortex with modern physiological methods. Series 1, Box 10",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Dr. Sarah Tower, a pupil of Dr. Marion Hines,  who is working with her at JHU. Sabin writes that Tower has ""very exceptional skill as a brain surgeon."" She published in Physiological Reviews. Series I, Box 7 ""Jeanne DePlaix, 1937"" folder",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Nina Simmonds Estill - in a letter in the E folder, she discusses how she got married and didn't want to have two full time interests so quit the work she loves in the laboratory. Series 1, Box 20 ""Nina Simmonds"" and also in Box 7.",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Dr. Marietta Blau, employed at Institute for Radiumforschung in Vienna, a Jewish woman seeking to leave Austria in 1936. Albert Einstein wrote Sabin a letter asking if she might be placed somewhere. ",,,,
Florence Rena Sabin,,,,,,,,,,,,,,Agnes Pockels,,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Emmy Noether, nice obituary written about her by Albert Einstein, Sabin is part of an effort in 1936 to raise a Memorial Fund of $25,000. Sabin describes her life as ""It seems that she was the most outstanding mathematician who ever lived. She was dismissed from the University of Goettinghen both because she was a woman and a Jewess and was then invited to Bryn Mawr College when she spent two happy years and then unfortunately died."" Series II, Box 32-33",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Lisa Meitner, Berlin, received Naples Table Association Award, In 1938, Esther Caukin Brannauer writes to the AAUW letting them knw that Meitner is ""considered the outstanding woman physicist since the death of Madam Curie"" for her work in radioactivity. She is ""partly Jewish"" and needs to leave Germany.",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Madame Remar-Lucas, Paris, received Naples Table Association award",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Dr. Christine Essenberg, wanting to establish a school for girls in Damascus. Series I, Box 7",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Dr Hertha Spooner - called ""really first class"" - Abraham Flexner, at Sabin's urging, attempts to get her a scholarship from Duggan Committee - Spooner ends up receiving a permanent post in Oslo",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Dr. Matilda Moldenhauer Brooks - at Univesrity of California in 1930. Applies many times to the Naples Table Association prize, in 1930 there is a large debate over her work with Osterhut saying it's not good and others, like Lenoard Loeb, writing letters to support her. She is married and works with her husband. She is said to have a disagreeable personality that led to a dispute with a ""Dr. Irwin."" Brooks is awarded the Naples table for three months in 1931.",,,,
Florence Rena Sabin,,,,,,,,,,,,,,Mrs. Hess - joins the committee for the Emmy Noether fund,,,,
Florence Rena Sabin,,,,,,,,,,,,,,Mrs. Henry Breckenridge - considered to become the chairman of the Emmy Noether fund,,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Mrs Denison - has a fund for helping medical students to obtain an introduction to research during medical courses. Series I, Box 27",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Laura Florence PhD Cornell, see biographical sketch that was duplicated for more. Add to database. Series I, Box 8",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Dr. Jean McNamara, from Australia, Rockefeller Foundation guest, 1932.",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Dr. Nora Archer from Oxford, in the US as a guest of AAUW (possibly a fellow?) 1936",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Dr. Virginia K. Frantz, Department of surgery, college of physicians and surgeons, Columbia University, 1933. Series I, Box 8",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Miss Adelaide Baylis, works at postgraduate medical school in 1936. Sabin says she is the only person in the country accredited to do ""Vernes Flocculation Test."" Baylis wrote the articles ""The Vernes Test for Tuberculosis, American Review of Tubercleosis, 1927; and ""The Vernes Flocculation Test for TB: Results of 250 cases"" - Series I, Box 9",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Dr. Ruby Hirose writes to Sabin from University of Cincinnati College of Medicine. Doctorate in biochemistry , studying under A.P. Mathews and C.A. Mills. Also studied at Cold Spring Harbor under W.W. Swingle and Edgar Allen. In 1932 she writes that she is 28 years old and an ""American-born Japanese girl."" Sabin responds that she has nothing. Series I, Box 10",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Margaret Reed Lewis, bio in papers, copied. But brief bio is graduated from Goucher in 1901, went on to Bryn Mawr, studied and worked all over ",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Evelyn Man - PhD from Yale, working on nutrition. Copy made of the letter. Series I, Box 14",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Maud L. Menten, Society for Biological Research in School of Medicine, University of Pittsburgh, April 27, 1931. holds the Naples Table in 1913, research student in Cushing laboratory for medical research at Cleveland, also a student at Chicago University working on PhD.  Series 1, Box 14",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Dr Helen T. Woolley, Institute of Child Welfare Resaerch, in 1936. Series I, Box 26",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Dorothy Wrinch, who in 1941 takes a position at Mt. Holyoke. Stellar research and training portfolio. See copies made for details of pubs and education. Series I, Box 26",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Madame Ramart-Lucas, has done scientific work in Paris - recommedned for Ellen Swallow Richards Prize ",,,,
Florence Rena Sabin,,,,,,,,,,,,,,Professor Johanna Westerdijk - recommedned for Ellen Swallow Richards Prize ,,,,
Florence Rena Sabin,,,,,,,,,,,,,,Dr. Annie Porter recommedned for Ellen Swallow Richards Prize ,,,,
Florence Rena Sabin,,,,,,,,,,,,,,Dr. Anna Cannon recommended for Ellen Swallow Richards Prize ,,,,
Florence Rena Sabin,,,,,,,,,,,,,,Dr. Jogteko recommended for Ellen Swallow Richards Prize ,,,,
Florence Rena Sabin,,,,,,,,,,,,,,Norma LeVoque - applies to Naples Table. Studying zoology at University of Colorado - made copies of a recommendation and letter describing her work. ,,,,
Florence Rena Sabin,,,,,,,,,,,,,,Miss Caroline McGill (won the Naples Table in 1909),,,,
Florence Rena Sabin,,,,,,,,,,,,,,Minnie Reed (holds the Naples Table in 1911),,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Miss Mary E. Pinney, holds the Naples Table in 1912, dmonstrater in biology at Bryn Mawr",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Miss Caroline B. Thompson, held Naple Table 1913 where she studied flora/fauna and prepared microscopic slides for her teaching at Wellesley where she is associate professor of zoology. ",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Miss Rhoda Erdmann, held Naples Table in 1913, Theresa Seessel Research Fellow at Yale University, published several papers, Series 1, Box 7",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Miss Florence Peebles, held Naples Table in 1913, teaacher of science at Miss Wright's School, private tutor and ""private investigator"" at Bryn Mawr. ",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Gulli Lindh Muller, working on blood findings at Rutland State Sanitorium (1834-37) and employed at Boston City Hospital (1931). Series I, Box 15",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Janet McCarter's work at Wisconsin - characterized by Florence Siebert as ""good"" in a letter to Sabin, January 18, 1944. She works there with a Dr. Williams (male) who ""was not conscious until lately that he was responsible for testing some of my products, which always passed thru her hands."" Siebert also says, ""She has always seemed to be very conscientious in her work."" ""If she has in mind a logical problem under good guidance I have no doubt she will do a good job. Her interest seems to be in research for I know she was often much discouraged about the amount of teaching she was required to do."" ",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Dr. Mary Sherwood, born 1856, went to Normal School at Albany, NY, then taught for a few years, then went to Vassar ""for a year or more."" Graduated Vassar in 1884. Then went to University in Zurich to study medicine where she took courses with Stohr and Klebs (pathologist). In 1889 Welsh and Mary Sherwood took their first course in bacteriology together with Professor Eichhorst. ""Dr. Welsh has often told me that Dr. Sherwood was a young woman of radiant beauty, so much so that everywhere she created wonderment at her determination to study medicine. Hers was a beauty of feature and of coloring that became intensified rather than faded with years."" In 1890 Welsh and Sherwood returned to America. Welsh as Assistant Resident in the State Hospital for the Insane at Norristown PA, and Sherwood in Baltimore where she practiced medicine with Dr. Kelley. Welsh joined Sherwood in Baltimore in 1892. In 1894 she became Lecturer in Hygiene at Bryn Mawr College and Director of Health. At about the same time, Dr. Welsh was made Director of Health at Goucher College. Sherwood and Welsh seemed to work in childhood medicine along with women physicians Helen C. Putnam, Gertrude Knipp, Josephine Baker and Julia Lathrop. Sabin writes that she was ""an ardent, not a passive liberal."" And reflects that others will likely write on her work with suffrage and public affairs. See copy of Sherwood eulogy/obituary for more details. Series I, Box 20",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Dorothy Anderson in the department of Pathology of Columbia University under J.W. Jobling. Head of the Department of Pathology of the Babies Hospital. She has excellent work in endicronology (1939). Series I, Box 1",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Elaine Ralli - conducts a diabetic clinic at the NYU Medical College and researches on the Physiology of the pancreas (1939). Series I, Box 17",,,,
Florence Rena Sabin,,,,,,,,,,,,,,"Dr Nelle S. Noble, American Medical Women's Association, Des Moines, Iowa.",,,,
Florence Barbara Seibert,1897/10/06,"Easton, Pennsylvania",23-Aug-91,,Goucher College,"postdoctoral fellow at Otho S.A. Sprague Memorial Institute, University of Chicago","Jessie E. Minor, worked at Chemistry Laboratory of Hammersley Paper Millin Garfield , NJ, then became chemistry teacher at Goucher.","1918 - Phi Beta Kappa, Goucher","Autobiography, Pebbles on the Hill of a Scientist","Van Meter Fellow, 1921-1922, Yale",tuberculosis,Lewis Affronti - ends up at the George Washington University School of Medicine in the 1960s,Nina Choucroun,"Dr. Hilda Pope Willett -at Duke University, School of Medicine and Department of Bacteriology ","Letters from an Ecuador physician, Jorge Higgins. He is a chest and tb expert in Guayaquil, Ecuador from 1944-1974. He visits the US occasionally and with his large family even dines with Siebert in her Florida house.",,,
Florence Barbara Seibert,,,,,"Yale University, PhD biochemistry, 1923",Ricketts Laboratory at University of Chicago,Esmond R. Long - who asked Siebert to relocate to Phipps with him. Long was a correspondent of Sabin.,1923 - Sigma Xi - Yale,,"American Psychological Society Porter Fellow, 1922-1923, Yale",,"Floyd M. Feldmann - Department of Public Health, Cornell University",Elizabeth Miller,"Mrs. Ellen Burtner Bevilacqua, Department of Physical Chemistry, University of Wisconsin in 1943. Series I, Box 1","A drawing of a HeLa cell in folder ""Diller, Irene #2 1963-1964""",,,
Florence Barbara Seibert,,,,,,"Sprague Memorial Institute in Chicago, 1924-1932","Theodor Svedberg, Nobel-prize winning protein scientist in Sweden.",1924 - American Association of Advancement Science; Fellow 1933; 50 year member 1957,,John Elliot Memorial Award from American Association of Blood Banks (1962),,"Jules Freund, Departmet of Pathology, Cornell University Medical College, corresponded about Sensitization to Tuberculin from 1935-44","Teresina Patino, worked on a Master's under Seibert's direction at Phipps. Applies for an Institute of International Education scholarship. ","Dr. Ruth Breitwisser - Office of Resident Physician, Wellesley College (in 1962)","In Pauline Beery Mack folder, a thank you letter from Mack at Pennsylvania State College, the Ellen H. Richards Institute dated October 1950 ",,,
Florence Barbara Seibert,,,,,,"Phipps Institute at University of Pennsylvania, 1932-1959","H. Gideon Wells - writes a letter of recommendation for Seibert, hosts her when she comes to Chicago, ",1923 - American Chemical Society: Reinstated 1928; Emeritus 1963,,"Trudeau Medal of the National Tuberculosis Association, 1938",,"Luis M. Gonzales, department of bacteriology, school of tropical medicine, San Juan, Puerto Rico (correspond from 1936-43). In 1943 he says he is going to University of Pennsylvania to study with Dr. Mudd. Last letter from him, though. ",sponsors Gail L. Miller for membership in the American Chemical Society,"Dr. Lydia Edwards, Tuberculosis Program, Department of Health, Education and Welfare, Public Health Service, corresponds with Seibert extensively in 1940-50s. Kn this folder (Lydia Edwards) is a letter from Edward Krohn, JHU, talking about testing of African American TB patients in Freedman's Hospital in Washington DC. It seems that Edwards is involved with this testing and runs a study of a couple thousand African Americans where they test the solution of injections on these patients with TB at the Freedman's Hospital. Series I, Box 2",,,,
Florence Barbara Seibert,,,,,,US Public Health Service,,"1926 - American Society Biological Chemists, Emeritus 1963",,"Achievement Award, American Association of University Women, 1943",,Irene Diller and Seibert correspond extensively throughout Siebert's life about Diller's work with the cancer gene. It seems that Seibert even does laboratory work while retired to help support Diller's theories. ,Marion Fay - she writes a LOR for her to Mrs Franklin N. Daskam at the Women's Medical College,"Charlotte C. Campbell, Harvard University School of Public Health in 1965 - addressed a group of scientific women with a talk titled ""Pills, Petticoats and Pipettes"" where she talked about Dr. Siebert, Alice Evans and Rebecca Lancefield. At Southern Illinois University School of Medicine in 1975. A woman that Seibert recommends as ""truly dedicated"" to fellow woman physician, Ruth Kundsin. Series I, Box I",,,,
