person A,id A,person B,id B,connection,collection item,date,notes,original data,,,connections list,,color codes
Leanna Meanes,,Nina Simmonds Estill,,received letter of recommendation about,,,,,,,,,
Florence Rena Sabin,,Anna Baetjer,,recommends,,,*check LOR writer,"Dr. Anna Baetjer Department of Physiological Hygeine. A letter dated June 10, 1935 includes a recommendation from Dr. Meyer (male). Copies made of rec. Also found in Anna E. Holman folder, Series 1, Box 11. Also mentioned in the ""Jacqua, Ernest J"" folder, Series I, Box 11. FRS recommends Baetjer to Doctor Anna Holman.",,,,,
Florence Rena Sabin,,H. J. Corper,,corresponded with,,,,"National Jewish Hospital, Denver, Colorado",,,,,
Florence Rena Sabin,,Elizabeth Stewart,,recommends ,,1938,,"Miss Elizabeth Stewart asks for a recommendation for a fellowship at AAUW - in 1938 Elizabeth Stewart had plans to work first in Mexico, then at University of Chicago. No response from FRS if she wrote the recommendation, but Stewart's letter indicates FRS had volunteered to do so.",,,,,
Florence Rena Sabin,,George Washington Corner,,coresponded with|requested reprints,,1925-1938,,"University of Rochester, 1925-1938",,,,,
Florence Rena Sabin,,Margaret Taylor Ross,,corresponded with,,1936,,"Dr. Margaret Taylor Ross, Physician-in-charge at Brigham Hall Hospital, Canandaigua, NY, she was a resident at Syracuse Psychopathic Hospital, May 1, 1940",,,,,
Florence Rena Sabin,,W.E. Cotton,,corresponded with,,,,"superintendent of the Experiment Station, USDA",,,,,
Florence Rena Sabin,,E.V. Cowdry,,corresponded with,,1921-1932,,National Research Council ,,,,,
Florence Rena Sabin,,Elizabeth Bass,,corresponded with|requested reprints,"Series I, Box 2",1939-1940,,"Dr. Elizabeth Bass, Tulane University of Louisiana, school of medicine, FRS sent reprints to Dr. Bass of her book An Atlas of the Medulla and Midbrain, Bass sends thank you note.",,,,,
Florence Rena Sabin,,Robert S. Cunningham,,corresponded with|published with,"Series 1, Box 5",1920-1943,,"Dr. Robert S. Cunningham, department of anatomy, Vanderbilt University, correspondence from 1920-1943",,,,,
Florence Rena Sabin,,Helen Dean King,,Women appearing in letters,,,,"Helen Dean King - see digitized material in Anna E. Homan folder, Series I, Box 11",,,,,
Florence Rena Sabin,,Charles Doan,,corresponded with|published with|used this person's scientific contribution,,"1920-1946|1927, 1929, 1930, 1931, 1932",,"Dr. Charles Doan, correspondence spans 1920-1946, 15 folders. at Boston Hospital, later of Ohio State University. Doan served in WW1 and WW2, studied at JHU, Harvard and did work at Peter Bent Brigham Hospital. Then worked at Rockefeller Insitute with FRS. He went on to work at Ohio State University for most of his career. ",,,,,
Florence Rena Sabin,,Florence Barbara Seibert,,corresponded with|mentor|recommends|used this person's scientific contribution,,1928-1936|1928-1946|1939|,,,,,,,
Florence Rena Sabin,,Hal Downey,,corresponded with|used this person's scientific contribution|published with,,1917-1939,,"Dr. Hal Downey, of University of Minnesota Medical School, correspondence from 1917-1939, four folders of correspondence",,,,,
Florence Rena Sabin,,Frieda Baumann,,corresponded with,"Series I, Box 2",1932,,"Frieda Baumann, MD, President Alumane Association of the Woman's Medical College of Pennsylvania, invited FRS to give a talk to the Alumanae Association of the Women's Medical College. FRS declined due to anothr appointment.",,,,,
Florence Rena Sabin,,Cecil K Drinker,,corresponded with,,"1920-1933, 1942",,"Dr. Cecil K Drinker, Harvard University School of Public Health",,,,,
Florence Rena Sabin,,Rose F. Beals,,corresponded with,"Series 1, Box 2",1926-1935,,"Dr. Rose F. Beals, American Marathi Mission Hospital, Wai via Poona, India. ",,,,,
Florence Rena Sabin,,Abraham Flexner,,corresponded with ,,,,,,,,,
Abraham Flexner,,Florence Rena Sabin,,corresponded with|mentor relationship,,1925-1944,,,,,,,
Florence Rena Sabin,,Regina C. Beck,,corresponded with|requested reprints,"Series I, Box 2",1937-1938,,"Dr. Regina C. Beck, M.D., Pathologist, Stuart Circle Hospital, Richmond, VA, ",,,,,
Florence Rena Sabin,,Simon Flexner,,corresponded with|mentor relationship,,1917-1943,,ten folders of correspondence ,,,,,
Florence Rena Sabin,,Consuelo Vadillo,,recommends ,"Series 1, Box 3",1934,,"Consuelo Vadillo, from Marida, Yucatan, Mexico, a gynecologist, who goes on to Women's Medical College at Philadelphia based on Sabin's recommendation. See the letter from her in the Heloise Brainerd, 1934 file. Brainerd is not a scientist, but associated with the Pan American Union. Also interesting is that Vadillo is able to do this post graduate study because she received a $1500 scholarship from the AAUW, who for this year awards five to US women, one to Europe and one to South America. Dr. Vadillo is the only woman physician in the Yucaton, daughter of a physician there. See also the article by Lillian Estelle Fisher, ""The Influence of the Present Mexican Revolution upon the Status of Mexican Women"" The Hispanic American Historical Review (1942), page 225. Ironically, it seems Sabin first doubt Vadillo's trianing in 2/1/34 letter to Kathryn McHale, Series I, Box 14",,,,,
Florence Rena Sabin,,Alice Hamilton,,corresponded with|mentor|recommends,"Series 1, Box 10",1925-1942|1925-1942|????,,"Dr. Alice Hamilton, writing from Harvard, asks for suggestions of women to fill the post of director of occupational disease clinic at Mass General Hosptial. Sabin recommends Dr. Doris A. Murray, school of hygeine, Johns Hopkins University, Dr. Cathryn Riley, JHU, and Miss Helen Louise Hopkins also JHU",,,,,
Florence Rena Sabin,,Doris A. Murray,,recommends ,,,,"school of hygeine, Johns Hopkins University",,,,,
Florence Rena Sabin,,Cathryn Riley,,recommends ,,,,at Johns Hopkins University,,,,,
Florence Rena Sabin,,Helen Louise Hopkins,,recommends ,,,,at Johns Hopkins University ,,,,,
Florence Rena Sabin,,Gladys Dick,,Women appearing in letters,"Series 1, Box 11",1936,,"Dr. Gladys Dick, Cancer and Scarlet Fever Specialist, Chicago Univeristy. Series I, Box 11, ""Anna E. Holman, -1936"" mentioned in letter dated May 20, 1936",,,,,
Florence Rena Sabin,,Donald R. Hooker,,corresponded with|,,1926-1943|,,"Donald R. Hooker, 1926-1943, writing about articles to publish/write",,,,,
Florence Rena Sabin,,Rebecca Lancefield,,recommends ,"Series 1, Box 11",,,"Dr. Rebecca Lansefield (or Lancefield), Rockefeller Institute, bacteriologist working on streptcocci important for puerperal fever - studied in the department of Homer Swift at Rockefeller. Found in Anna E. Holman folder, Series 1, Box 11",,,,,
Florence Rena Sabin,,Franklin R. Miller,,corresponded with|used this person's scientific contributions|published with,,"1931-1945|????|1930, 1931",,"Dr. Franklin R. Miller, The Lakeside Hospital, Cleveland, OH. She writes to him a great deal about her blood research. Later in life he moves on to Jefferson Medical College in Philadelphia.",,,,,
Florence Rena Sabin,,Clara Lynch,,recommends ,,,,"Dr. Clara Lynch, geneticist at Rockefeller Institute, found in Anna E. Holman folder, Series 1, Box 11",,,,,
Florence Rena Sabin,,Louise Pearce,,corresponded with,Box 16,1936-1943,,,,,,,
Florence Rena Sabin,,Virginia C. Gildersleeve,,corresponded with,Box 9,1928-1936,,"Virginia C. Gildersleeve, Dean of Barnard College, Columbia University. Corresponds a lot about women's clubs such as ACA and International Federation fo University Women",,,,,
Florence Rena Sabin,,Josephine Bicknell Neal,,Women appearing in letters,,,,"Dr. Josephine Bicknell Neal, Neurological specialist, New York City",,,,,
Florence Rena Sabin,,Anna Foa,,Women appearing in letters,,,,Dr. Foa  recommended for Ellen Swallow Richards Prize ,,,,,
Florence Rena Sabin,,Bertha Van Hoosen,,corresponded with|requested reprints,Box 23,1927-1937| 1932,,"Dr. Bertha Van Hoosen, Surgeon, Loyola University, Chicago, series 1",,,,,
Florence Rena Sabin,,Kate Campbell Mead,,corresponded with|requested reprints,Box 14,1933-1940|1935,,"Dr. Kate Campbell Mead, Haddam, Connecticut. Series I, Box 14",,,,,
Florence Rena Sabin,,"Catherine Macfarlane,",,corresponded with,Box 14,1936,,"Dr. Catherine Macfarlane, Surgeon, Women's Medical College, Pennsylvania. Series I, Box 14",,,,,
Florence Rena Sabin,,Martha Tracy,,corresponded with,Box 22,1922-1932,,"Dr. Martha Tracy, Professor of Preventative Medicine, Women's Medical College, Pennsylvania. Series 1, Box 22",,,,,
Florence Rena Sabin,,Esther Richards,,Women appearing in letters,,,,"Dr. Esther Richards, Psychiatrist, Johns Hopkins University",,,,,
Florence Rena Sabin,,Jessie L. King,,Women appearing in letters,Box 4,,King appears in the letters here as George Corner is trying to find funds for her to continue studying ,"Dr. Jessie King, mentioned in letters to George Corner at UR, encourages King to apply for the ACA scholarship through the AAUW. Series I, Box 4 ""Corner, George Washington 1925-1938""",,,,,
Florence Rena Sabin,,Mary Denton,,Women appearing in letters|asks for introduction,,,,"Miss Mary Denton, Doshisha University, Kyoto, Japan (1931) Sabin writes to introduce her to Dr. Louise Pearce, who will be working as Professor at Peiping Union Medical College in China",,,,,
Florence Rena Sabin,,Vera Danchakoff,,corresponds with,Box 5,1922-1927,,"Vera Danchakoff - fled Russia, working at Columbia Medical, also applied to the Ellen Richards Research Prize",,,,,
Florence Rena Sabin,,M. A. Nutting,,Women appearing in letters,,,,"Miss M.A. Nutting, Butler Hall, Teacher's College, wrote a history of nursing, also corresponded with ESR. The history of nursing was written with Lavinia Dock",,,,,
Florence Rena Sabin,,Marion Hines,,corresponded with|recommends|mentor relationship,,1919-1936|1939,,"Dr. Marion Hines, anatomist, is offered a position in China in 1919. Writes to Sabin asking if she should go. Sabin advises her to stay in Chicago. In 1939 Sabin writes to Dr. Noble and recommends Marion Hines - in the Anatomical Department at Johns Hopkins Medical School. Hines works with Sarah Tower on a survey of the cerebral cortex with modern physiological methods. Series 1, Box 10",,,,,
Marion Hines,,Florence Rena Sabin,,asks for advice,,,,,,,,,
Marion Hines,,Sarah Tower,,worked at same institution as,,,,,,,,,
Florence Rena Sabin,,Sarah Tower,,recommends ,,1937,,"Dr. Sarah Tower, a pupil of Dr. Marion Hines, who is working with her at JHU. Sabin writes that Tower has ""very exceptional skill as a brain surgeon."" She published in Physiological Reviews. Series I, Box 7 ""Jeanne DePlaix, 1937"" folder",,,,,
Marion Hines,,Sarah Tower,,mentor relationship,,,,,,,,,
John Faquhar Fulton,,Sarah Tower,,recommends,Box 7,1937,,see document in Jeanne DuPlaix folder for the dual recommendation of Hines and Tower,,,,,
John Faquhar Fulton,,Marion Hines,,recommends,Box 7 ,1937,,see document in Jeanne DuPlaix folder for the dual recommendation of Hines and Tower,,,,,
Florence Rena Sabin,,Nina Simmonds Estill,,corresponded with|requested reprints,,1929,,"Nina Simmonds Estill - in a letter in the E folder, she discusses how she got married and didn't want to have two full time interests so quit the work she loves in the laboratory. Series 1, Box 20 ""Nina Simmonds"" and also in Box 7.",,,,,
Florence Rena Sabin,,Marietta Blau,,Women appearing in letters,"Box 7, Einstein folder, Box 32-33",,,"Dr. Marietta Blau, employed at Institute for Radiumforschung in Vienna, a Jewish woman seeking to leave Austria in 1936. Albert Einstein wrote Sabin a letter asking if she might be placed somewhere. ",,,,,
Florence Rena Sabin,,Agnes Pockels,,Women appearing in letters,Box 3 ,,,"FRS states that Agnes Pockels was ""one of the very original workers on surface tension."" January 16, 1939 letter in Janet Howell Clark papers.",,,,,
Florence Rena Sabin,,Emmy Noether,,Women appearing in letters,"Box 7, Einstein folder, Box 32-33",,,"Emmy Noether, nice obituary written about her by Albert Einstein, Sabin is part of an effort in 1936 to raise a Memorial Fund of $25,000. Sabin describes her life as ""It seems that she was the most outstanding mathematician who ever lived. She was dismissed from the University of Goettinghen both because she was a woman and a Jewess and was then invited to Bryn Mawr College when she spent two happy years and then unfortunately died."" Series II, Box 32-33",,,,,
Florence Rena Sabin,,Lisa Meitner,,Women appearing in letters,,,,"Lisa Meitner, Berlin, received Naples Table Association Award, In 1938, Esther Caukin Brannauer writes to the AAUW letting them knw that Meitner is ""considered the outstanding woman physicist since the death of Madam Curie"" for her work in radioactivity. She is ""partly Jewish"" and needs to leave Germany.",,,,,
Florence Rena Sabin,,Madame Remar-Lucas,,Women appearing in letters,,,,"Madame Remar-Lucas, Paris, received Naples Table Association award",,,,,
Florence Rena Sabin,,Christine Essenberg,,Women appearing in letters,"Series I, Box 7",1924,,"Dr. Christine Essenberg, wanting to establish a school for girls in Damascus. Doctorate in biology. There is a letter from her requesting to meet Sabin after she is introduced by Edgar L. Hewett. No follow up or response. Series I, Box 7",,,,,
Florence Rena Sabin,,Hertha Sponer,,women appearing in letters,Box 21,,,"Dr Hertha Sponer  - called ""really first class"" by Marion Hines who is seeking a position for her in 1934 as she has to leave Gottingen. Abraham Flexner, at Sabin's urging, attempts to get her a scholarship from Duggan Committee (a committee helping displaced German scholars) - Sponer ends up receiving a post in Oslo and then teaches at Duke University https://physics.duke.edu/about/history/historical-faculty/HerthaSponer",,,,,
Florence Rena Sabin,,Matilda Moldenhauer Brooks,,Women appearing in letters,,,,"Dr. Matilda Moldenhauer Brooks - at Univesrity of California in 1930. Applies many times to the Naples Table Association prize, in 1930 there is a large debate over her work with Osterhut saying it's not good and others, like Lenoard Loeb, writing letters to support her. She is married and works with her husband. She is said to have a disagreeable personality that led to a dispute with a ""Dr. Irwin."" Brooks is awarded the Naples table for three months in 1931.",,,,,
Florence Rena Sabin,,Mrs Denison,,Women appearing in letters,Box 27,,,"Mrs Denison - has a fund for helping medical students to obtain an introduction to research during medical courses. Series I, Box 27",,,,,
Florence Rena Sabin,,"Laura Florence, PhD",,corresponded with,Box 8,1926,,"Laura Florence PhD Cornell, from the UK. Studied at University of Aberdeen, Scotland. See digital object for her CV, including where she studied and her publications. Series I, Box 8",,,,,
Florence Rena Sabin,,Jean McNamara,,Women appearing in letters,,,,"Dr. Jean McNamara, from Australia, Rockefeller Foundation guest, 1932.",,,,,
Florence Rena Sabin,,Nora Archer Oxford,,Women appearing in letters,,,,"Dr. Nora Archer from Oxford, in the US as a guest of AAUW (possibly a fellow?) 1936",,,,,
Florence Rena Sabin,,Virginia K. Frantz,,corresponded with|requested reprints,Box 8,"1926, 1933 | 1926",,"Dr. Virginia K. Frantz, Department of surgery, college of physicians and surgeons, Columbia University, 1933. Series I, Box 8",,,,,
Florence Rena Sabin,,Adelaide Baylis,,Women appearing in letters,"Series 1, Box 2",1927|,,"Miss Adelaide Baylis, works at postgraduate medical school in 1936. Sabin says she is the only person in the country accredited to do ""Vernes Flocculation Test."" Baylis wrote the articles ""The Vernes Test for Tuberculosis, American Review of Tubercleosis, 1927; and ""The Vernes Flocculation Test for TB: Results of 250 cases"" - Series I, Box 9. Sends specimens and samples to (series 1, box 2)",,,,,
Florence Rena Sabin,,Ruby Hirose ,,Women appearing in letters,,,,"Dr. Ruby Hirose writes to Sabin from University of Cincinnati College of Medicine. Doctorate in biochemistry , studying under A.P. Mathews and C.A. Mills. Also studied at Cold Spring Harbor under W.W. Swingle and Edgar Allen. Working in department of internal medicine at Cincinnati General Hospital. In 1932 she writes that she is 28 years old and an ""American-born Japanese girl."" Sabin responds that she has nothing. Series I, Box 10",,,,,
Florence Rena Sabin,,Margaret Reed Lewis,,corresponded with,,,,"Margaret Reed Lewis, bio in papers, copied. But brief bio is graduated from Goucher in 1901, went on to Bryn Mawr, studied at University of Zurich, Konigliches Institut fur Infections-Krankheiten, worked as ""Asst. In Zoology"" Columbia University, Lecturer in Physiology at NY Medical College for Women, and Barnard College, worked as researcher (witout salary) at Johns Hopkins Medical School, recieved a scholarship to Woods Hole Marine Laboratory, ""Investigator"" at Mount Desert Island Biological Laboratory. Has 96 publications on topics such as cytology of living cells in tissue culture, cancer, ultramicroscopic viruses.",,,,,
Florence Rena Sabin,,Evelyn B. Man,,Women appearing in letters,Box 14,,,"Evelyn Man - PhD from Yale, working on nutrition. Copy made of the letter. PhD from Yale, working on nutrition. Asks Sabin if there are any positions she knows of. No response in the folder.",,,,,
Florence Rena Sabin,,Maud L. Menten,,Women appearing in letters,Box 14,,,"Maud L. Menten, Society for Biological Research in School of Medicine, University of Pittsburgh, April 27, 1931. holds the Naples Table in 1913, research student in Cushing laboratory for medical research at Cleveland, also a student at Chicago University working on PhD.  Series 1, Box 14",,,,,
Florence Rena Sabin,,Helen T. Woolley,,corresponded with ,Box 26,1926,,"Dr Helen T. Woolley, Institute of Child Welfare Resaerch, in 1936. asks FRS for suggestions of women to hire. Series I, Box 26",,,,,
Florence Rena Sabin,,Dorothy Wrinch,,corresponded with,Box 26,1941,,"Dorothy Wrinch, mathemitician who researched physical mathemeatics, who in 1941 takes a position at Mt. Holyoke. Stellar research and training portfolio. Studied at University of Cambridge, University of London, University of Oxford, Unviersity of Vienna, Lecturer in chemistry at Johns Hopkins University many publications",,,,,
Florence Rena Sabin,,Pauline Ramart-Lucas,,Women appearing in letters,,,,"Madame Ramart-Lucas, has done scientific work in Paris - recommedned for Ellen Swallow Richards Prize 1929",,,,,
Florence Rena Sabin,,Johanna Westerdijk,,Women appearing in letters,,,,Professor Johanna Westerdijk - recommedned for Ellen Swallow Richards Prize ,,,,,
Florence Rena Sabin,,Annie Porter,,Women appearing in letters,,,,Dr. Annie Porter recommedned for Ellen Swallow Richards Prize ,,,,,
Florence Rena Sabin,,Anna J. Cannon,,Women appearing in letters,,,,Dr. Anna Cannon recommended for Ellen Swallow Richards Prize ,,,,,
Florence Rena Sabin,,Jozafa Joteyko,,Women appearing in letters,,,,Dr. Jogteko  recommended for Ellen Swallow Richards Prize ,,,,,
Florence Rena Sabin,,Norma LeVoque,,Women appearing in letters,,,,Norma LeVoque - applies to Naples Table. Studying zoology at University of Colorado - made copies of a recommendation and letter describing her work. ,,,,,
Florence Rena Sabin,,Caroline McGill,,Women appearing in letters,,,,Miss Caroline McGill (won the Naples Table in 1909),,,,,
Florence Rena Sabin,,Minnie Reed,,Women appearing in letters,,,,Minnie Reed (holds the Naples Table in 1911),,,,,
Florence Rena Sabin,,Mary E. Pinney,,Women appearing in letters,,,,"Miss Mary E. Pinney, holds the Naples Table in 1912, demonstrater in biology at Bryn Mawr",,,,,
Florence Rena Sabin,,Caroline B. Thompson,,Women appearing in letters,,,,"Miss Caroline B. Thompson, held Naple Table 1913 where she studied flora/fauna and prepared microscopic slides for her teaching at Wellesley where she is associate professor of zoology. ",,,,,
Florence Rena Sabin,,Rhoda Erdmann,,corresponded with,Box 7,1925,,"Rhoda Erdmann, held Naples Table in 1913, Theresa Seessel Research Fellow at Yale University, published several papers, German cell bioligist, one of the few women working in this field, researched how to reproduce protozoa. Series 1, Box 7. https://en.wikipedia.org/wiki/Rhoda_Erdmann",,,,,
Florence Rena Sabin,,Florence Peebles,,corresponds with,1934,,,"Miss Florence Peebles, held Naples Table in 1913, teacher of science at Miss Wright's School, private tutor and ""private investigator"" at Bryn Mawr. In 1934, teaching biology at California Christian College. Very brief correspondence.",,,,,
Florence Rena Sabin,,Gulli Lindh Muller,,corresponded with|asks for advice,Box 15,1925-1937,,"Gulli Lindh Muller, working on blood findings at Rutland State Sanitorium (1834-37) and employed at Boston City Hospital (1931). Series I, Box 15",,,,,
Florence Rena Sabin,,Janet McCarter,,Women appearing in letters,,,,"Janet McCarter's work at Wisconsin - characterized by Florence Siebert as ""good"" in a letter to Sabin, January 18, 1944. She works there with a Dr. Williams (male) who ""was not conscious until lately that he was responsible for testing some of my products, which always passed thru her hands."" Siebert also says, ""She has always seemed to be very conscientious in her work."" ""If she has in mind a logical problem under good guidance I have no doubt she will do a good job. Her interest seems to be in research for I know she was often much discouraged about the amount of teaching she was required to do."" ",,,,,
Florence Rena Sabin,,Mary Sherwood,,corresponded with|mentor relationship,1924,,,"Dr. Mary Sherwood, born 1856, went to Normal School at Albany, NY, then taught for a few years, then went to Vassar ""for a year or more."" Graduated Vassar in 1884. Then went to University in Zurich to study medicine where she took courses with Stohr and Klebs (pathologist). In 1889 Welsh and Mary Sherwood took their first course in bacteriology together with Professor Eichhorst. ""Dr. Welsh has often told me that Dr. Sherwood was a young woman of radiant beauty, so much so that everywhere she created wonderment at her determination to study medicine. Hers was a beauty of feature and of coloring that became intensified rather than faded with years."" In 1890 Welsh and Sherwood returned to America. Welsh as Assistant Resident in the State Hospital for the Insane at Norristown PA, and Sherwood in Baltimore where she practiced medicine with Dr. Kelley. Welsh joined Sherwood in Baltimore in 1892. In 1894 she became Lecturer in Hygiene at Bryn Mawr College and Director of Health. At about the same time, Dr. Welsh was made Director of Health at Goucher College. Sherwood and Welsh seemed to work in childhood medicine along with women physicians Helen C. Putnam, Gertrude Knipp, Josephine Baker and Julia Lathrop. Sabin writes that she was ""an ardent, not a passive liberal."" And reflects that others will likely write on her work with suffrage and public affairs. See copy of Sherwood eulogy/obituary that FRS wrote for more details. Series I, Box 20",,,,,
Florence Rena Sabin,,Elaine Ralli,,corresponds with,Box 17,1934-1936,,"Elaine P. Ralli - conducts a diabetic clinic at the NYU Medical College and researches on the Physiology of the pancreas (1939). Series I, Box 17",,,,,
Florence Rena Sabin,,Nelle S. Noble,,Women appearing in letters,,,,"Dr Nelle S. Noble, American Medical Women's Association, Des Moines, Iowa.",,,,,
